1,Πέτρος,100,'peter; peter [said]; peter [with that]',NON-MNS
2,πατρός,100,'father',NON-MGS
3,κυρίῳ,99,'lord; master; to [the] lord; [my] lord; for [the] lord',NON-MDS
4,ἀνθρώπων,99,'men; of men; among men; man; than men',NON-MGP
5,ἥν,98,'which; that; whatever; whom; that which',PRO-FAS
6,πνεύματος,95,'spirit; of [the] spirit; [of the] spirit; with [the] spirit; in spirit',NON-NGS
7,ἦσαν,95,'were; they were; there were; they had been; existed',VRB-ImAInd3P
8,ὀνόματι,95,'name; named; by name',NON-NDS
9,ἐνώπιον,94,'before; in the presence; in presence; in the presence of; in the sight of',PAR
10,πίστεως,93,'faith; of faith',NON-FGS
11,πατέρα,93,'father; [as] father',NON-MAS
12,οὐρανοῦ,92,'heaven; air; of heaven; sky',NON-MGS
13,πάντας,91,'all; all [men]; all those; everyone; on all',ADJ-MAP
14,πνεύματι,91,'spirit; in spirit; by [the] spirit; in [the] spirit; breath',NON-NDS
15,τούτῳ,89,'this; by this; him; that; these things',PRO-NDS | PRO-MDS
16,ἦλθε(ν),89,'came; he came; has come; he went; she came',VRB-AoAInd3S
17,πᾶσι(ν),88,'to all; all; among all; [to] all; all [is]',ADJ-MDP | ADJ-NDP
18,αὐτοί,86,'they; themselves; yourselves; you yourselves; ourselves',PRO-MNP
19,ἡμέρᾳ,84,'day; daytime; day [is]; days',NON-FDS
20,πολλοί,83,'many; great; many [of you]',ADJ-MNP
21,ὥστε,83,'so that; therefore; so as; so as for; so then',PAR
22,μᾶλλον,81,'more; rather; all the more; especially; even more',PAR
23,ὅπου,81,'where; wherever; for wherever; to the place; to where',PAR | PAR
24,ὧν,80,'that; of which; which; of what; [the things] of which',PRO-NGP | PRO-MGP | PRO-FGP
25,Παῦλος,79,'paul; paul [said]',NON-MNS
26,ἔλεγον,78,'were saying; they were saying; began saying; kept saying; kept telling',VRB-ImAInd3P | VRB-ImAInd1S
27,δεῖ,77,'it behooves; it is necessary; it is necessary for; it behooves [you]; it behooves [me]',VRB-PrAInd3S
28,γῆν,76,'earth; land; ground; soil; an earth',NON-FAS
29,νεκρῶν,76,'dead; of [the] dead; [from the] dead; from [the] dead; dead',ADJ-MGP | ADJ-NGP
30,τινές,76,'some; certain; any; certain ones; some [of]',PRO-MNP | PRO-FNP
31,ἐποίησε(ν),75,'did; he did; had done; made; has done',VRB-AoAInd3S
32,μόνον,73,'only; only [so]; [consisting] only; alone; but',ADJ-NAS | ADJ-MAS | PAR
33,οὗτοι,73,'these; they; [are] these; it; themselves',PRO-MNP
34,Ἀβραάμ,73,'of abraham; abraham; abraham’s; abraham; to abraham',NON-MGS | NON-MNS | NON-MDS | NON-MAS | NON-MVS
35,τούτων,72,'these things; of these things; these; of these; than these',PRO-NGP | PRO-MGP | PRO-FGP
36,κόσμου,71,'world; of [the] world; [of the] world; earth',NON-MGS
37,ἕν,70,'one; one thing; [are] one; [this] one; one [thing]',ADJ-NNS | ADJ-NAS
38,γέγραπται,67,'it has been written; has it been written; has been written; have been written; it is written',VRB-PfPInd3S
39,κύριον,67,'lord; master; [as] lord',NON-MAS
40,ἀλλήλους,67,'one another; each other; themselves; to one another',PRO-MAP
41,Χριστόν,65,'christ; christ's',NON-MAS
42,εἴτε,65,'or; whether; if; or [the]; or if',PAR
43,πρῶτον,65,'first; at first; before; chiefly; first',ADJ-NAS | ADJ-MAS | ADJ-NNS | PAR
44,ἑαυτούς,65,'themselves; yourselves; ourselves; each other; other',PRO-MAP
45,τέκνα,63,'children; sons; children; children',NON-NAP | NON-NNP | NON-NVP
46,ἄνδρες,63,'men; husbands; men; brothers',NON-MNP | NON-MVP
47,χάρις,61,'grace; grace [be]; credit; thanks [be]; [be] thanks',NON-FNS
48,βασιλείαν,60,'kingdom; kingship',NON-FAS
49,ζωήν,60,'life; [is] life',NON-FAS
50,οἵτινες,60,'who; which; such as; those; those who',PRO-MNP
51,ἤδη,60,'already; now; already [it is]',PAR
52,παντί,59,'to everyone; every; all; to all; everyone',ADJ-MDS | ADJ-NDS
53,δόξαν,58,'glory',NON-FAS
54,πίστει,58,'faith; by faith; in faith; [by] faith; in the faith',NON-FDS
55,ἁμαρτίας,58,'sin; of sin; from sin; sins',NON-FGS | NON-FAP
56,ἔργα,58,'works; deeds; works; deeds',NON-NAP | NON-NNP
57,ἡμέραν,58,'day; [another] day; [is] day; day [alike]',NON-FAS
58,καρδίας,57,'heart; of heart; of [the] heart; of his heart; hearts',NON-FGS | NON-FAP
59,μηδέ,57,'nor; neither; not; and not; nor [anything]',PAR | PAR
60,ὅσα,57,'whatever; as many as; how much; all that; as much as',PRO-NAP | PRO-NNP
61,αὐτά,56,'them; themselves; these things; in those things; them [yourself]',PRO-NAP | ADJ-NAP | PRO-NNP
62,πᾶσαν,56,'all; every; any',ADJ-FAS
63,πίστιν,55,'faith; faithfulness; fidelity',NON-FAS
64,διό,53,'therefore; so then',PAR
65,ταύτην,53,'this',PRO-FAS
66,ὅπως,53,'so that; that; how; that',PAR | PAR
67,οὕς,52,'whom; some; which; those whom; that',PRO-MAP
68,χάριν,51,'grace; favor; thankful; blessing of grace; bounty',NON-FAS | PAR
69,ὁδόν,51,'way; road; journey; [their] way; path',NON-FAS
70,ἑαυτοῖς,50,'themselves; yourselves; to yourselves; for themselves; ourselves',PRO-MDP
71,ἡμέραις,49,'days; years',NON-FDP
72,ἧς,49,'which; that; of which; whom; of whom',PRO-FGS
73,δόξης,48,'glory; of glory; of [the] glory; brightness; glorious',NON-FGS
74,φῶς,48,'light; light; fire; in light',NON-NNS | NON-NAS
75,ζωῆς,47,'of life; life; living; of a life',NON-FGS
76,ποῦ,47,'where; where [the]; [place] where; are where; what',PAR
77,πρό,47,'before; before [the]; above; ago; just outside',PAR
78,οἷς,46,'to whom; whom; for whom; to one; to them',PRO-MDP | PRO-NDP
79,οὐαί,46,'woe; but woe; woe [to him]; woe to; woe to you',PAR | PAR
80,ποιῆσαι,46,'to do; to make; to act; to produce; doing',VRB-AoAInf
81,πᾶσα,46,'all; every; any',ADJ-FNS
82,ἅγιον,46,'holy; holy [is]; holy [one]; holy; holy',ADJ-NNS | ADJ-NAS | ADJ-MAS
83,ἔχοντες,46,'having; being; [those] having; keeping; we are having',VRB-PrAParMNP
84,αἰώνιον,45,'eternal; eternal; an eternal; everlasting; eternal',ADJ-FAS | ADJ-NAS | ADJ-MAS | ADJ-NNS
85,λόγῳ,45,'word; speech; in word; by [the] word; by a word',NON-MDS
86,πάσῃ,45,'all; every; complete; conscience; in all',ADJ-FDS
87,τινά,45,'any; anyone; certain; someone; one',PRO-MAS | PRO-FAS | PRO-NAP | PRO-NNP
88,ἐθνῶν,45,'gentiles; nations; of [the] gentiles; of gentiles; of the gentiles',NON-NGP
89,λαόν,44,'people',NON-MAS
